number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy_per_second,user_attrs_best_iteration,user_attrs_confusion_matrix,user_attrs_confusion_matrix_percent,user_attrs_fit_time_sec,user_attrs_validation_accuracy,state
0,0.9610374989174677,2026-06-16 00:36:06.624606,2026-06-16 00:53:00.081344,0 days 00:16:53.456738,0.7116816401941866,0.022697431887307225,11,33,934,71,7.3567729646002e-08,5.797213645459228e-06,0.6474473062295077,0.0009561535583728048,934,"[[72216, 1060, 2220], [380, 22804, 245], [500, 94, 15951]]","[[95.65539896153439, 1.404047896577302, 2.940553141888312], [1.6219215502155448, 97.332365871356, 1.0457125784284433], [3.0220610456331216, 0.5681474765790269, 96.40979147778785]]",1005.107903957367,0.9610374989174677,COMPLETE
1,0.9628301723391357,2026-06-16 00:36:06.638089,2026-06-16 01:15:35.945440,0 days 00:39:29.307351,0.8892967064486099,0.012890049149224906,7,65,3528,68,1.9508733828362366e-08,0.22402366194976028,0.9160221991149771,0.00042878887972876595,3528,"[[72491, 1019, 1986], [399, 22790, 240], [553, 95, 15897]]","[[96.01965667055208, 1.349740383596482, 2.630602945851436], [1.703017627726322, 97.27261086687439, 1.0243715053992914], [3.3423995164702327, 0.5741915986702931, 96.08340888485948]]",2245.4644181728363,0.9628301723391357,COMPLETE
2,0.958257556075171,2026-06-16 00:36:06.666796,2026-06-16 01:09:26.565940,0 days 00:33:19.899144,0.8188146194808613,0.005058103213409087,9,25,3042,54,4.3457068816182305e-08,0.00028892253208076486,0.831781439166108,0.0004975225427274727,3042,"[[71857, 1126, 2513], [362, 22812, 255], [479, 85, 15981]]","[[95.17987707958038, 1.4914697467415492, 3.3286531736780756], [1.545093687310598, 97.36651158820266, 1.0883947244867471], [2.8951344817165308, 0.5137503777576307, 96.59111514052584]]",1926.0585677623749,0.958257556075171,COMPLETE
3,0.9656360959556595,2026-06-16 00:36:06.687471,2026-06-16 01:28:05.034920,0 days 00:51:58.347449,0.6853006626143658,0.015465857129279583,10,19,2428,175,0.8770098865374258,0.05635735519812957,0.9352697121872011,0.00032054313856779565,2424,"[[72955, 924, 1617], [451, 22747, 231], [646, 99, 15800]]","[[96.63425876867649, 1.2239059022994596, 2.141835329024054], [1.924964787229502, 97.08907763882368, 0.985957573946818], [3.904502870957993, 0.598368087035358, 95.49712904200665]]",3012.499660015106,0.9656360959556595,COMPLETE
4,0.9385035074045207,2026-06-16 00:36:06.728596,2026-06-16 00:39:53.511144,0 days 00:03:46.782548,0.6774629691999907,0.006421814827766361,3,34,1994,154,2.039247431129167e-05,7.709061654900053e-05,0.8490687097940709,0.004447638647383,1994,"[[69798, 1375, 4323], [374, 22653, 402], [577, 50, 15918]]","[[92.45258026915333, 1.8212885450884815, 5.726131185758186], [1.5963122625805626, 96.68786546587562, 1.7158222715438134], [3.4874584466606224, 0.3022061045633122, 96.21033544877606]]",211.01163601875305,0.9385035074045207,COMPLETE
5,0.9589417164631506,2026-06-16 00:36:06.735216,2026-06-16 00:50:09.025163,0 days 00:14:02.289947,0.716066999688278,0.02579850621840299,4,66,3152,209,0.3399496034184162,3.8857139730604563e-07,0.9469630831616167,0.0012625579013729952,3151,"[[71948, 1118, 2430], [367, 22806, 256], [486, 84, 15975]]","[[95.30041326692805, 1.4808731588428528, 3.218713574229098], [1.5664347603397497, 97.34090230056768, 1.0926629390925777], [2.9374433363553942, 0.5077062556663644, 96.55485040797825]]",759.5229616165161,0.9589417164631506,COMPLETE
6,0.9586126266562743,2026-06-16 00:36:06.731516,2026-06-16 01:00:41.498939,0 days 00:24:34.767423,0.9888173462800209,0.008211152632203613,6,95,2853,212,0.0042963854290781886,0.0007977222303829514,0.8742368680130015,0.0006672970353577476,2853,"[[71918, 1125, 2453], [376, 22794, 259], [491, 75, 15979]]","[[95.26067606230794, 1.4901451732542121, 3.249178764437851], [1.6048486917922231, 97.2896837252977, 1.1054675829100686], [2.9676639468117254, 0.45330915684496825, 96.5790268963433]]",1436.5605957508087,0.9586126266562743,COMPLETE
7,0.9591409023988915,2026-06-16 00:36:06.747013,2026-06-16 01:22:49.748659,0 days 00:46:43.001646,0.890097459773864,0.005332649797321601,7,96,3302,130,0.00017051674325198205,0.0002660813327890521,0.7073938777882611,0.0003770802031327609,3302,"[[71964, 1105, 2427], [358, 22817, 254], [491, 83, 15971]]","[[95.32160644272544, 1.4636537035074706, 3.2147398537670866], [1.5280208288872765, 97.3878526612318, 1.0841265098809167], [2.9676639468117254, 0.5016621335750983, 96.53067391961318]]",2543.5991983413696,0.9591409023988915,COMPLETE
8,0.9606131462717589,2026-06-16 00:36:06.750973,2026-06-16 00:53:32.306446,0 days 00:17:25.555473,0.7042107409493681,0.025228351971419084,5,33,2525,111,0.9497239266403569,0.008191901859761997,0.8328056629412699,0.0009346411339999004,2525,"[[72146, 1097, 2253], [369, 22813, 247], [498, 84, 15963]]","[[95.56267881742079, 1.453057115608774, 2.9842640669704354], [1.5749711895514107, 97.37077980280849, 1.054249007640104], [3.0099728014505893, 0.5077062556663644, 96.48232094288305]]",1027.7882187366486,0.9606131462717589,COMPLETE
9,0.9656014549233567,2026-06-16 00:36:06.745072,2026-06-16 00:58:59.243112,0 days 00:22:52.498040,0.9110490109056206,0.06265823348429773,9,12,2738,176,0.1384448576718858,0.002551460874331364,0.9522253811984779,0.0007079387418866544,652,"[[73002, 911, 1583], [454, 22741, 234], [697, 93, 15755]]","[[96.69651372258133, 1.2066864469640777, 2.0967998304545934], [1.9377694310469933, 97.0634683511887, 0.9987622177643091], [4.2127530976125716, 0.5621033544877607, 95.22514354789968]]",1363.961876630783,0.9656014549233567,COMPLETE
