number,value,datetime_start,datetime_complete,duration,params_alpha,params_eta0,params_l1_ratio,params_learning_rate,params_loss,params_max_iter,params_penalty,params_tol,user_attrs_accuracy_per_second,user_attrs_confusion_matrix,user_attrs_fit_time_sec,user_attrs_fold_1_accuracy,user_attrs_fold_2_accuracy,user_attrs_fold_3_accuracy,user_attrs_fold_4_accuracy,user_attrs_fold_5_accuracy,user_attrs_mean_accuracy,user_attrs_std_accuracy,state
25,0.9266160519811326,2026-06-14 14:09:24.933795,2026-06-14 14:35:35.423086,0 days 00:26:10.489291,2.388973505558709e-06,0.010021502086427422,,optimal,log_loss,520,l2,1.6690644835679903e-05,0.000590020072145593,"[[361473, 8622, 7385], [3764, 107854, 5525], [16880, 192, 65652]]",1570.4822525978088,0.9268034987442626,0.928665454230536,0.9263352068520555,0.9251574015536638,0.9261186985251453,0.9266160519811326,0.0011566400810218912,COMPLETE
28,0.9259474789176785,2026-06-14 14:11:13.570476,2026-06-14 14:28:49.659462,0 days 00:17:36.088986,1.0929308530400439e-06,0.005312609883367318,0.9491059515046006,adaptive,hinge,2112,elasticnet,2.0133952888335544e-05,0.0008767765112436464,"[[360992, 8643, 7845], [3455, 107574, 6114], [16596, 101, 66027]]",1056.081529378891,0.926483069195462,0.9263012037758726,0.9246031402367735,0.9261100381920688,0.926239943188215,0.9259474789176785,0.0006828155793724672,COMPLETE
5,0.9258764644414542,2026-06-14 14:01:23.825099,2026-06-14 14:09:21.022915,0 days 00:07:57.197816,1.447043246672443e-06,0.0010853901810802399,0.8706112908823962,adaptive,hinge,1359,elasticnet,0.007592948743990985,0.0019402966323071777,"[[360977, 8634, 7869], [3453, 107552, 6138], [16602, 99, 66023]]",477.1829466819763,0.9264051268727808,0.926231921711267,0.9245858195706207,0.926049415860534,0.9261100381920688,0.9258764644414542,0.0006566683957532341,COMPLETE
34,0.9257812018426239,2026-06-14 14:20:30.578519,2026-06-14 14:30:46.183352,0 days 00:10:15.604833,0.0001124598561276795,0.009188956965117876,0.9005758026200384,optimal,hinge,2016,elasticnet,1.2133531653348598e-05,0.0015042181271341351,"[[360736, 8645, 8099], [3475, 107532, 6136], [16404, 91, 66229]]",615.4567513465881,0.9260846973239802,0.9259374729366935,0.9248542898959894,0.9261706605236038,0.9258588885328529,0.9257812018426239,0.00047611116451696557,COMPLETE
29,0.9257621484798498,2026-06-14 14:12:26.018010,2026-06-14 14:28:55.327163,0 days 00:16:29.309153,9.804118037287433e-05,0.004065341596991311,0.9455355037165079,adaptive,hinge,2146,elasticnet,1.4145717401251622e-05,0.0009357790559043505,"[[360913, 8685, 7882], [3441, 107555, 6147], [16608, 98, 66018]]",989.2956490516663,0.9262925435177969,0.9260933575820559,0.9245251972390858,0.9258502281997766,0.926049415860534,0.9257621484798498,0.0006342471636134114,COMPLETE
32,0.9255976027964042,2026-06-14 14:16:43.724941,2026-06-14 14:29:03.237378,0 days 00:12:19.512437,0.00015288301238934715,0.00048759632477878744,0.9160470584784889,adaptive,hinge,2076,elasticnet,1.3237729009355145e-05,0.0012516472565956064,"[[360850, 8710, 7920], [3428, 107535, 6180], [16626, 92, 66006]]",739.5035605430603,0.9261020178401317,0.9259114921624665,0.9244126129090925,0.9256856818713247,0.9258762091990058,0.9255976027964042,0.0006070488538010879,COMPLETE
33,0.9255837470284891,2026-06-14 14:17:25.065617,2026-06-14 14:29:33.751409,0 days 00:12:08.685792,9.560546245223402e-05,0.009131659270224428,,optimal,hinge,1254,l2,1.0493097919003873e-05,0.0012702974450452301,"[[360748, 8459, 8273], [3519, 107401, 6223], [16399, 91, 66234]]",728.6354472637177,0.9256949857105742,0.9258768511301637,0.9246637625683084,0.9256250595397899,0.9260580761936104,0.9255837470284891,0.00048401453413282744,COMPLETE
31,0.9255577653542536,2026-06-14 14:13:18.993522,2026-06-14 14:27:25.466605,0 days 00:14:06.473083,0.00017968685829129454,0.00035223979068218575,0.9340707993119449,adaptive,hinge,2065,elasticnet,1.0693828945405328e-05,0.0010936290408250068,"[[360826, 8715, 7939], [3418, 107535, 6190], [16627, 90, 66007]]",846.3178379535675,0.9261279986143587,0.9258335498397853,0.924317349245252,0.9256770215382484,0.9258329075336238,0.9255577653542536,0.0006371468328651252,COMPLETE
30,0.9255473730595629,2026-06-14 14:13:06.174813,2026-06-14 14:26:01.463636,0 days 00:12:55.288823,0.00016520863524807945,0.000591830628103114,0.8518261580478554,adaptive,hinge,2090,elasticnet,1.8393835315313604e-05,0.0011939448348310645,"[[360827, 8711, 7942], [3423, 107529, 6191], [16627, 91, 66006]]",775.2011198997498,0.9260587165497531,0.9258422100978609,0.9243693112437105,0.9256597008720956,0.9258069265343946,0.9255473730595629,0.0006026966450624046,COMPLETE
26,0.9250208276885449,2026-06-14 14:09:34.379551,2026-06-14 14:17:25.052449,0 days 00:07:50.672898,0.00013399078218708616,0.005612611367960634,,optimal,hinge,2072,l2,3.8664850083376915e-05,0.0019658419134159387,"[[360692, 8922, 7866], [3331, 107561, 6251], [16835, 84, 65805]]",470.5469048023224,0.9243699662249935,0.9258681908720879,0.924170123582953,0.9252786462167335,0.925417211545956,0.9250208276885449,0.0006463641451573317,COMPLETE
20,0.9248614756699208,2026-06-14 14:09:08.247925,2026-06-14 14:37:06.753329,0 days 00:27:58.505404,4.307952111762328e-06,0.0016063461184905152,0.6142090942063401,optimal,modified_huber,941,elasticnet,0.0001054823078567032,0.0005510073926915021,"[[359160, 8367, 9953], [4058, 107542, 5543], [15302, 158, 67264]]",1678.4919548034668,0.9247336970641725,0.926595652550446,0.9244472542413982,0.9276082758142878,0.9209224986792992,0.9248614756699208,0.0022915377798597785,COMPLETE
27,0.9243280026774476,2026-06-14 14:10:13.492216,2026-06-14 14:38:35.939495,0 days 00:28:22.447279,1.0530012066948584e-06,0.00388817730094163,,optimal,hinge,2077,l2,1.0591100810277653e-05,0.000542944214485408,"[[360801, 8527, 8152], [3782, 107550, 5811], [17269, 148, 65307]]",1702.4364161491394,0.9275915822291504,0.9217026067376808,0.9257289835367069,0.9246031402367735,0.9220137006469269,0.9243280026774476,0.002233297887155743,COMPLETE
0,0.9242188826756867,2026-06-14 14:01:23.766341,2026-06-14 14:09:23.949860,0 days 00:08:00.183519,0.0010936675376533734,0.0009792758380533363,,adaptive,hinge,2219,l1,1.8303209769190066e-05,0.0019247665091358332,"[[360282, 8977, 8221], [3259, 107406, 6478], [16763, 54, 65907]]",480.17194724082947,0.9247683380964753,0.924413267515372,0.9231395439468602,0.9243346699114048,0.9244385939083217,0.9242188826756867,0.0005597032296815159,COMPLETE
35,0.9241755769602659,2026-06-14 14:21:58.712464,2026-06-14 14:41:21.742274,0 days 00:19:23.029810,1.022988492086205e-06,0.008806547903558748,0.9293494029704402,optimal,hinge,1976,elasticnet,1.0778137586723552e-05,0.0007946338526952521,"[[360884, 9134, 7462], [3766, 107619, 5758], [17544, 113, 65067]]",1163.0206463336945,0.9244479085476747,0.927071966744609,0.917813439104868,0.9242307459144878,0.9273138244896899,0.9241755769602659,0.0034290429433554894,COMPLETE
23,0.9240110367368727,2026-06-14 14:09:21.322673,2026-06-14 14:11:13.562899,0 days 00:01:52.240226,0.00035490126659367066,0.001606295530264387,,optimal,hinge,1623,l2,0.0003218502496259861,0.008235076745123542,"[[360270, 8981, 8229], [3275, 107467, 6401], [16914, 72, 65738]]",112.20430183410645,0.9237897289339222,0.9242054213215554,0.9238237102598966,0.924170123582953,0.9240661995860361,0.9240110367368727,0.00017332356095401977,COMPLETE
14,0.9234342588089863,2026-06-14 14:01:23.969894,2026-06-14 14:09:21.315831,0 days 00:07:57.345937,3.744765234765848e-05,0.0002859151205232458,0.3845857939910215,adaptive,squared_hinge,501,elasticnet,0.00010684655331985055,0.0019345825777804522,"[[359921, 10115, 7444], [3006, 108061, 6076], [17484, 80, 65160]]",477.3299777507782,0.9239802546115874,0.9238676712566034,0.9221436056430731,0.9237804085945145,0.9233993539391525,0.9234342588089863,0.0006742078885401188,COMPLETE
17,0.9228973204082702,2026-06-14 14:05:53.600764,2026-06-14 14:09:34.375506,0 days 00:03:40.774742,5.993238685227523e-06,0.03136865758163768,,invscaling,squared_hinge,2533,l1,3.779384273658148e-05,0.0041804418944019674,"[[359792, 10041, 7647], [2977, 107899, 6267], [17514, 69, 65141]]",220.76549410820007,0.9235472417078029,0.9230016454490344,0.9216066649923356,0.9232434679437771,0.9230875819484017,0.9228973204082702,0.0006715787939458505,COMPLETE
4,0.9226912053510601,2026-06-14 14:01:23.802177,2026-06-14 14:09:08.213436,0 days 00:07:44.411259,0.0013326157894869414,0.00016475771739877978,,adaptive,hinge,2974,l1,0.001469143116019227,0.0019870231517757804,"[[359758, 8984, 8738], [3143, 107158, 6842], [16885, 42, 65797]]",464.3585579395294,0.9233653762882134,0.9226812159002338,0.92190977665001,0.9226632256276577,0.9228364322891859,0.9226912053510601,0.00046628548871563755,COMPLETE
7,0.922395023009857,2026-06-14 14:01:23.850561,2026-06-14 14:09:24.926567,0 days 00:08:01.076006,0.00231012390757106,0.0029251406470312104,,adaptive,squared_hinge,2797,l1,0.007819090051276026,0.00191741151812179,"[[359562, 10434, 7484], [2910, 107961, 6272], [17640, 65, 65019]]",481.0626275539398,0.9227851389971421,0.9226552351260068,0.9212429310031264,0.9228364322891859,0.9224553776338238,0.922395023009857,0.0005908809784399875,COMPLETE
